PWN,ILI,POS,Tree File,Gap,DeepL Direct,DeepL Contextualized,Translated Wordnet,Lemmas,Translated Wordnet Gloss,Gloss,Hypernyms,Hyponyms
omw-en31-02358129-n,i47943,n,omw-en31-02357879-n,tree squirrel,лісова білка,лісова білка,"деревна білка, дерев'яна білка",tree squirrel,будь-яка типова деревна білка,any typical arboreal squirrel,squirrel,"eastern grey squirrel, eastern gray squirrel, cat squirrel, Sciurus carolinensis; western grey squirrel, western gray squirrel, Sciurus griseus; fox squirrel, eastern fox squirrel, Sciurus niger; black squirrel; red squirrel, cat squirrel, Sciurus vulgaris; American red squirrel, spruce squirrel, red squirrel, Sciurus hudsonicus, Tamiasciurus hudsonicus; chickeree, Douglas squirrel, Tamiasciurus douglasi"
omw-en31-07729140-n,i77534,n,omw-en31-07723196-n,cruciferous vegetable,хрестоцвіті овочі,хрестоцвіті,хрестоцвітний овоч,cruciferous vegetable,овоч сімейства гірчичників: особливо гірчичої зелені,a vegetable of the mustard family: especially mustard greens; various cabbages; broccoli; cauliflower; brussels sprouts,"vegetable, veggie, veg","mustard, mustard greens, leaf mustard, Indian mustard; cabbage, chou; broccoli; cauliflower; brussels sprouts; broccoli rabe, broccoli raab; kohlrabi, turnip cabbage; radish; turnip"
omw-en31-07729640-n,i77536,n,omw-en31-07723196-n,cabbage,капуста,капуста,"капуста, чу","cabbage, chou",будь-який з різних видів капусти,any of various types of cabbage,cruciferous vegetable,"kale, kail, cole; Chinese cabbage, celery cabbage, Chinese celery; bok choy, bok choi; head cabbage"
omw-en31-07730316-n,i77541,n,omw-en31-07723196-n,head cabbage,качанна капуста,качанна капуста,головна капуста,head cabbage,"будь-який з декількох сортів капусти, що має велику компактну кулясту головку",any of several varieties of cabbage having a large compact globular head; may be steamed or boiled or stir-fried or used raw in coleslaw,"cabbage, chou","red cabbage; savoy cabbage, savoy"
omw-en31-00778229-n,i39489,n,omw-en31-00782543-n,embezzlement,розкрадання,розтрата,"привласнення, розтрата, розкрадання, неправильне застосування","embezzlement, peculation, defalcation, misapplication, misappropriation","шахрайське привласнення коштів або майна, довірених вам, але фактично належать комусь іншому",the fraudulent appropriation of funds or property entrusted to your care but actually owned by someone else,"larceny, theft, thievery, thieving, stealing",raid; plunderage
omw-en31-00436503-n,i37685,n,omw-en31-00625978-n,cardiopulmonary exercise,серцево-легеневі вправи,серцево-легеневі вправи,серцево-легенева вправа,cardiopulmonary exercise,"вправа, призначена для зміцнення системи кровообігу",exercise intended to strengthen the circulatory system,"exercise, exercising, physical exercise, physical exertion, workout","jump rope; conditioner; aerobics, aerobic exercise; jogging; power walking"
omw-en31-11547465-n,i98177,n,omw-en31-11482925-n,windstorm,буря,буря,"вітер, Буря",windstorm,"буря, що складається з сильних вітрів",a storm consisting of violent winds,"storm, violent storm","cyclone; dust storm, duster, sandstorm, sirocco; tempest; whirlwind"
omw-en31-06287350-n,i69495,n,omw-en31-06282431-n,broadcasting,мовлення,мовлення,"трансляція, мовлення",broadcasting,участь у радіо- або телепередачі,taking part in a radio or tv program,"telecommunication, telecom","Rediffusion; radio, radiocommunication, wireless; television, telecasting, TV, video; reception"
omw-en31-13476660-n,i107451,n,omw-en31-13562370-n,data processing,обробка даних,Обробка даних,обробка даних,data processing,"(інформатика) серія операцій над даними комп'ютером з метою отримання, перетворення або класифікації інформації",(computer science) a series of operations on data by a computer in order to retrieve or transform or classify information,processing,"administrative data processing, business data processing; automatic data processing, ADP; data mining; distributed data processing, remote-access data processing, teleprocessing; list processing; multiprocessing, parallel processing; operation; priority processing; real-time processing, real-time operation; serial processing; word processing"
omw-en31-13457236-n,i107352,n,omw-en31-13562370-n,automatic data processing,автоматична обробка даних,автоматична обробка даних,автоматична обробка даних,"automatic data processing, ADP",обробка даних комп'ютером,data processing by a computer,data processing,"electronic data processing, EDP; integrated data processing, IDP"
omw-en31-10253142-n,i90849,n,omw-en31-10251212-n,King of England,Король Англії,Король Англії,"Король Англії, король Великобританії, Король Великої Британії","King of England, King of Great Britain",суверенний правитель Англії,the sovereign ruler of England,"king, male monarch, Rex","Canute, Cnut, Knut, Canute the Great; Charles, Charles I, Charles Stuart; Charles, Charles II; Edgar; Edward, Edward I; Edward, Edward II; Edward, Edward III; Edward, Edward IV; Edward, Edward V; Edward, Edward VI; Edward, Edward VII, Albert Edward; Edward, Edward VIII, Duke of Windsor; Edward the Confessor, Saint Edward the Confessor, St. Edward the Confessor; Edward the Martyr, Saint Edward the Martyr, St. Edward the Martyr; Edwy, Eadwig; George, George I; George, George II; George, George III; George, George IV; George, George V; George, George VI; Harold I, King Harold I, Harold Harefoot, Harefoot; Harold II, King Harold II; Henry I, Henry Beauclerc; Henry II; Henry III; Henry IV, Bolingbroke, Henry Bolingbroke; Henry V; Henry VI; Henry VII, Henry Tudor; Henry VIII; James, James I, King James, King James I; James, James II; John, King John, John Lackland; Richard I, Richard Coeur de Lion, Richard the Lionheart, Richard the Lion-Hearted; Richard II; Richard III; William I, William the Conqueror; William II, William Rufus; William III, William of Orange; William IV, Sailor King"
omw-en31-14956017-n,i115583,n,omw-en31-14720954-n,igneous rock,магматична порода,магматична порода,"магматична порода, магмаста скеля",igneous rock,"порода, утворена в результаті застигання розплавленої магми",rock formed by the solidification of molten magma,"rock, stone","andesite; aplite; groundmass; adesite; batholith, batholite, pluton, plutonic rock; diorite; gabbro; pegmatite; peridotite; rhyolite; volcanic rock; porphyry, porphyritic rock"
omw-en31-14957452-n,i115592,n,omw-en31-14720954-n,volcanic rock,вулканічна порода,вулканічна порода,"вулканічна порода, Вулканічна скеля",volcanic rock,"екструзивна магма, затверділи біля або на поверхні Землі",extrusive igneous rock solidified near or on the surface of the Earth,igneous rock,"agglomerate; amygdaloid; dacite; basalt; volcanic glass; lava; tuff, tufa"
omw-en31-15030825-n,i116012,n,omw-en31-15030685-n,rubber,гума,Каучук,"каучук, натуральний каучук, коучоук","rubber, natural rubber, India rubber, gum elastic, caoutchouc","еластичний матеріал, отриманий з латексного соку дерев (особливо дерев родів Hevea і Ficus), який може бути вулканізований і оброблений для отримання різноманітних продуктів",an elastic material obtained from the latex sap of trees (especially trees of the genera Hevea and Ficus) that can be vulcanized and finished into a variety of products,latex,"foam rubber; crepe rubber; cold rubber; hard rubber, vulcanite, ebonite; Para rubber"
omw-en31-06432944-n,i70241,n,omw-en31-06422547-n,handbook,довідник,довідник,енхірідіон,"handbook, enchiridion, vade mecum","короткий довідник, що містить конкретну інформацію про предмет або місце розташування",a concise reference book providing specific information about a subject or location,"reference book, reference, reference work, book of facts","manual; bible; guidebook, guide; reckoner, ready reckoner"
omw-en31-06433328-n,i70243,n,omw-en31-06422547-n,manual,інструкція,мануал,посібник,manual,невеликий довідник,a small handbook,"handbook, enchiridion, vade mecum","consuetudinary, consuetudinal; grimoire; instruction manual, instructions, book of instructions, operating instructions; reference manual; sex manual"
omw-en31-08513665-n,i81707,n,omw-en31-08613276-n,polar circle,полярне коло,полярне коло,Полярне коло,polar circle,лінія широти на північному або південному полюсах,a line of latitude at the north or south poles,"latitude, line of latitude, parallel of latitude, parallel",Antarctic Circle; Arctic Circle
